ObservationDate,Confirmed
2020-01-22,1.0
2020-01-23,1.0
2020-01-24,2.0
2020-01-25,2.0
2020-01-26,5.0
2020-01-27,5.0
2020-01-28,5.0
2020-01-29,5.0
2020-01-30,5.0
2020-01-31,6.0
2020-02-01,8.0
2020-02-02,8.0
2020-02-04,11.0
2020-02-03,11.0
2020-02-05,12.0
2020-02-06,12.0
2020-02-07,12.0
2020-02-08,12.0
2020-02-09,12.0
2020-02-10,12.0
2020-02-11,13.0
2020-02-12,13.0
2020-02-19,15.0
2020-02-18,15.0
2020-02-17,15.0
2020-02-20,15.0
2020-02-15,15.0
2020-02-14,15.0
2020-02-13,15.0
2020-02-16,15.0
2020-02-21,35.0
2020-02-22,35.0
2020-02-23,35.0
2020-02-24,53.0
2020-02-25,53.0
2020-02-26,59.0
2020-02-27,60.0
2020-02-28,62.0
2020-02-29,70.0
2020-03-01,76.0
2020-03-02,101.0
2020-03-03,122.0
2020-03-04,153.0
2020-03-05,221.0
2020-03-06,278.0
2020-03-07,417.0
2020-03-08,537.0
2020-03-09,605.0
2020-03-10,959.0
2020-03-11,1281.0
2020-03-12,1663.0
2020-03-13,2179.0
2020-03-14,2726.0
2020-03-15,3499.0
2020-03-16,4632.0
2020-03-17,6421.0
2020-03-18,7786.0
2020-03-19,13680.0
2020-03-20,19101.0
2020-03-21,25514.0
2020-03-22,33918.0
2020-03-23,43754.0
2020-03-24,53876.0
2020-03-25,65961.0
2020-03-26,83973.0
2020-03-27,101867.0
2020-03-28,121692.0
2020-03-29,141098.0
2020-03-30,162133.0
2020-03-31,188417.0
2020-04-01,213623.0
2020-04-02,243839.0
2020-04-03,275957.0
2020-04-04,309184.0
2020-04-05,337427.0
2020-04-06,367075.0
2020-04-07,396603.0
2020-04-08,429608.0
2020-04-09,461940.0
2020-04-10,496990.0
2020-04-11,526762.0
2020-04-12,555613.0
2020-04-13,580886.0
2020-04-14,607980.0
2020-04-15,636837.0
2020-04-16,668131.0
2020-04-17,700179.0
2020-04-18,732660.0
2020-04-19,759492.0
2020-04-20,784829.0
2020-04-21,812572.0
2020-04-22,841061.0
2020-04-23,869856.0
2020-04-24,906056.0
2020-04-25,939017.0
2020-04-26,966323.0
2020-04-27,988903.0
2020-04-28,1013417.0
2020-04-29,1040925.0
2020-04-30,1070403.0
2020-05-01,1104625.0
2020-05-02,1133512.0
2020-05-03,1158771.0
2020-05-04,1181206.0
2020-05-05,1205360.0
2020-05-06,1229732.0
2020-05-07,1258109.0
2020-05-08,1285120.0
2020-05-09,1311000.0
2020-05-10,1330613.0
2020-05-11,1348936.0
2020-05-12,1371192.0
2020-05-13,1391915.0
2020-05-14,1418928.0
2020-05-15,1444045.0
2020-05-16,1469104.0
2020-05-17,1488175.0
2020-05-18,1509869.0
2020-05-19,1530275.0
2020-05-20,1553355.0
2020-05-21,1578826.0
2020-05-22,1602740.0
2020-05-23,1624092.0
2020-05-24,1644549.0
2020-05-25,1663578.0
2020-05-26,1682487.0
2020-05-27,1700960.0
2020-05-28,1723592.0
2020-05-29,1748015.0
2020-05-30,1772237.0
2020-05-31,1791798.0
2020-06-01,1812614.0
2020-06-02,1833865.0
2020-06-03,1853777.0
2020-06-04,1875139.0
2020-06-05,1905398.0
2020-06-06,1928171.0
2020-06-07,1946405.0
2020-06-08,1964117.0
2020-06-09,1982364.0
2020-06-10,2003965.0
2020-06-11,2026722.0
2020-06-12,2052494.0
2020-06-13,2078270.0
2020-06-14,2097484.0
2020-06-15,2117372.0
2020-06-16,2141131.0
2020-06-17,2168046.0
2020-06-18,2196160.0
2020-06-19,2228210.0
2020-06-20,2260788.0
2020-06-21,2286056.0
2020-06-22,2318673.0
2020-06-23,2354882.0
2020-06-24,2390986.0
2020-06-25,2431544.0
2020-06-26,2477487.0
2020-06-27,2519167.0
2020-06-28,2560064.0
2020-06-29,2601647.0
2020-06-30,2646850.0
2020-07-01,2698300.0
2020-07-02,2753430.0
2020-07-03,2806558.0
2020-07-04,2851803.0
2020-07-05,2901699.0
2020-07-06,2948016.0
2020-07-07,3008722.0
2020-07-08,3068391.0
2020-07-09,3130729.0
2020-07-10,3198882.0
2020-07-11,3258934.0
2020-07-12,3317569.0
2020-07-13,3376249.0
2020-07-14,3444784.0
2020-07-15,3512850.0
2020-07-16,3588545.0
2020-07-17,3660688.0
2020-07-18,3724227.0
2020-07-19,3785398.0
2020-07-20,3846923.0
2020-07-21,3911923.0
2020-07-22,3982210.0
2020-07-23,4050372.0
2020-07-24,4124638.0
2020-07-25,4188875.0
2020-07-26,4245022.0
2020-07-27,4301773.0
2020-07-28,4368551.0
2020-07-29,4440103.0
2020-07-30,4508045.0
2020-07-31,4576721.0
2020-08-01,4633947.0
2020-08-02,4679895.0
2020-08-03,4726218.0
2020-08-04,4785430.0
2020-08-05,4839248.0
2020-08-06,4898750.0
2020-08-07,4958355.0
2020-08-08,5013349.0
2020-08-09,5060190.0
2020-08-10,5107854.0
2020-08-11,5156131.0
2020-08-12,5211715.0
2020-08-13,5262939.0
2020-08-14,5328285.0
2020-08-15,5375962.0
2020-08-16,5415914.0
2020-08-17,5451980.0
2020-08-18,5497136.0
2020-08-19,5543845.0
2020-08-20,5587827.0
2020-08-21,5637363.0
2020-08-22,5681002.0
2020-08-23,5715524.0
2020-08-24,5752446.0
2020-08-25,5792665.0
2020-08-26,5836236.0
2020-08-27,5881875.0
2020-08-28,5928997.0
2020-08-29,5973097.0
2020-08-30,6007496.0
2020-08-31,6045000.0
2020-09-01,6087700.0
2020-09-02,6127818.0
2020-09-03,6164696.0
2020-09-04,6215489.0
2020-09-05,6259090.0
2020-09-06,6290524.0
2020-09-07,6314709.0
2020-09-08,6341787.0
2020-09-09,6376499.0
2020-09-10,6411817.0
2020-09-11,6459319.0
2020-09-12,6500998.0
2020-09-13,6535200.0
2020-09-14,6569921.0
2020-09-15,6609359.0
2020-09-16,6647804.0
2020-09-17,6693139.0
2020-09-18,6742611.0
2020-09-19,6785510.0
2020-09-20,6824974.0
2020-09-21,6876947.0
2020-09-22,6917194.0
2020-09-23,6954983.0
2020-09-24,7002522.0
2020-09-25,7055591.0
2020-09-26,7100954.0
2020-09-27,7139320.0
2020-09-28,7172737.0
2020-09-29,7216874.0
2020-09-30,7257599.0
2020-10-01,7303372.0
2020-10-02,7358666.0
2020-10-03,7407533.0
2020-10-04,7443363.0
2020-10-05,7483088.0
2020-10-06,7528526.0
2020-10-07,7578497.0
2020-10-08,7637251.0
2020-10-09,7693895.0
2020-10-10,7749069.0
2020-10-11,7795104.0
2020-10-12,7837276.0
2020-10-13,7889687.0
2020-10-14,7949352.0
2020-10-15,8014474.0
2020-10-16,8083722.0
2020-10-17,8140579.0
2020-10-18,8190150.0
2020-10-19,8258130.0
2020-10-20,8320322.0
2020-10-21,8383002.0
2020-10-22,8459418.0
2020-10-23,8542177.0
2020-10-24,8625101.0
2020-10-25,8687797.0
2020-10-26,8755372.0
2020-10-27,8833326.0
2020-10-28,8912108.0
2020-10-29,9003619.0
2020-10-30,9103222.0
2020-10-31,9193017.0
2020-11-01,9297995.0
2020-11-02,9383950.0
2020-11-03,9511492.0
2020-11-04,9615479.0
2020-11-05,9744935.0
2020-11-06,9873221.0
2020-11-07,10001098.0
2020-11-08,10116194.0
2020-11-09,10203121.0
2020-11-10,10348449.0
2020-11-11,10495075.0
2020-11-12,10659914.0
2020-11-13,10840303.0
2020-11-14,11008064.0
2020-11-15,11144288.0
2020-11-16,11307233.0
2020-11-17,11471155.0
2020-11-18,11644332.0
2020-11-19,11835880.0
2020-11-20,12034177.0
2020-11-21,12213451.0
2020-11-22,12360235.0
2020-11-23,12534684.0
2020-11-24,12710198.0
2020-11-25,12893485.0
2020-11-26,13005807.0
2020-11-27,13213995.0
2020-11-28,13369528.0
2020-11-29,13509762.0
2020-11-30,13670332.0
2020-12-01,13858551.0
2020-12-02,14061108.0
2020-12-03,14284721.0
2020-12-04,14517506.0
2020-12-05,14733048.0
2020-12-06,14914060.0
2020-12-07,15108918.0
2020-12-08,15333410.0
2020-12-09,15555949.0
2020-12-10,15787464.0
2020-12-11,16027441.0
2020-12-12,16245026.0
2020-12-13,16432729.0
2020-12-14,16627550.0
2020-12-15,16836556.0
2020-12-16,17083256.0
2020-12-17,17322981.0
2020-12-18,17574950.0
2020-12-19,17766856.0
2020-12-20,17954675.0
2020-12-21,18153724.0
2020-12-22,18351735.0
2020-12-23,18581353.0
2020-12-24,18775557.0
2020-12-25,18873203.0
2020-12-26,19099491.0
2020-12-27,19255126.0
2020-12-28,19429760.0
2020-12-29,19630012.0
2020-12-30,19863696.0
2020-12-31,20099363.0
2021-01-01,20252991.0
2021-01-02,20553301.0
2021-01-03,20762047.0
